"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"3DD.003D57F3F4","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:27:51 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:27:51 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F4","ILR-2021-288-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/15/2021","10/15/2021 8:41:25 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/15/2021","10/15/2021 8:41:25 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F5","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:25:49 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:25:49 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F6","ILR-2021-285-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/12/2021","10/12/2021 8:10:30 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/12/2021","10/12/2021 8:10:30 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
"3DD.003D57F3F7","ILR-2021-285-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/12/2021","10/12/2021 8:14:54 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/12/2021","10/12/2021 8:14:54 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
"3DD.003D57F3F8","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:03:15 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:03:15 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F9","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:05:49 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:05:49 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F9","ILR-2021-287-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/14/2021","10/14/2021 9:26:26 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/14/2021","10/14/2021 9:26:26 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3FA","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:05:18 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:05:18 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3FB","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:04:39 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:04:39 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
